setting,Graph Name,PR1,PR2,ROC1,ROC2,PR3,ROC3
hedge-4_negtype-tailed-1_seed-9_aa,email-Eu,0.9615771052999441,0.9909878935165364,0.7694557885559583,0.9241881949861576,,
hedge-4_negtype-tailed-1_seed-9_aa,email-Enron,0.9511693019055996,0.9702115524280892,0.6293995859213249,0.7556935817805384,,
hedge-4_negtype-tailed-1_seed-9_am,email-Eu,0.992890557401838,0.9929768613157388,0.9330098349622968,0.9337937258140993,,
hedge-4_negtype-tailed-1_seed-9_am,email-Enron,0.9856476538687432,0.9905939044731438,0.8757763975155279,0.9089026915113873,,
hedge-4_negtype-tailed-1_seed-9_cn,email-Eu,0.9590921313710477,0.9915013357021027,0.7604926658407134,0.9269528441854418,,
hedge-4_negtype-tailed-1_seed-9_cn,email-Enron,0.9469322175447004,0.9602756954998166,0.5983436853002071,0.7225672877846792,,
hedge-4_negtype-tailed-1_seed-9_gm,email-Eu,0.9936945464048892,0.9936945464048892,0.93025283347864,0.9302528334786401,,
hedge-4_negtype-tailed-1_seed-9_gm,email-Enron,0.9906559877955758,0.990655987795576,0.8985507246376812,0.8985507246376812,,
hedge-4_negtype-tailed-1_seed-9_hm,email-Eu,0.986616052470536,0.9866371511606521,0.8853072087367504,0.8854142767555332,,
hedge-4_negtype-tailed-1_seed-9_hm,email-Enron,0.9837643744551978,0.9847949611871712,0.8530020703933747,0.8571428571428572,,
hedge-4_negtype-tailed-1_seed-9_jc,email-Eu,0.9694660173623422,0.9714714704886708,0.7995763165542453,0.8137016473179461,,
hedge-4_negtype-tailed-1_seed-9_jc,email-Enron,0.9577354158549326,0.9600036088833568,0.6728778467908902,0.6873706004140787,,
hedge-4_negtype-tailed-10_seed-9_aa,email-Eu,0.2580265762963752,0.6304604654153595,0.7635443520550705,0.9092494875633844,,
hedge-4_negtype-tailed-10_seed-9_aa,email-Enron,0.1372901454128122,0.4536586120618292,0.5746345351202835,0.8538769688961598,,
hedge-4_negtype-tailed-10_seed-9_am,email-Eu,0.5420967079912338,0.5789139971952101,0.8717815906181519,0.8690860018710616,,
hedge-4_negtype-tailed-10_seed-9_am,email-Enron,0.5407978885413187,0.6714276496198346,0.8721030222949306,0.8381467732125256,,
hedge-4_negtype-tailed-10_seed-9_cn,email-Eu,0.2491442189811157,0.6227537356533761,0.7560688463694922,0.9081329157481924,,
hedge-4_negtype-tailed-10_seed-9_cn,email-Enron,0.12060910353464548,0.3814703774507269,0.5613267895719289,0.8444178778917344,,
hedge-4_negtype-tailed-10_seed-9_gm,email-Eu,0.9302522807193554,0.9302522807193554,0.9232781168265038,0.9232781168265038,,
hedge-4_negtype-tailed-10_seed-9_gm,email-Enron,0.9209382151029748,0.9209382151029748,0.9130434782608696,0.9130434782608696,,
hedge-4_negtype-tailed-10_seed-9_hm,email-Eu,0.5070596159716688,0.7239567276749221,0.8664819216983017,0.9117074124301324,,
hedge-4_negtype-tailed-10_seed-9_hm,email-Enron,0.6027268225057202,0.679176684322819,0.8946286625138951,0.8789823612072402,,
hedge-4_negtype-tailed-10_seed-9_jc,email-Eu,0.1996035848890104,0.3265766015352479,0.7595339355823719,0.8353607600136715,,
hedge-4_negtype-tailed-10_seed-9_jc,email-Enron,0.25861993361091073,0.3350386066719893,0.6777092640365779,0.7321776882904424,,
hedge-4_negtype-tailed-2_seed-9_aa,email-Eu,0.8797155903631173,0.9533198639944666,0.7877478997023589,0.9081918730875088,,
hedge-4_negtype-tailed-2_seed-9_aa,email-Enron,0.8631288650493569,0.9274932503010784,0.6999463231347289,0.8255501878690285,,
hedge-4_negtype-tailed-2_seed-9_am,email-Eu,0.967480362643392,0.9671679581881992,0.9144865928547145,0.913755311288518,,
hedge-4_negtype-tailed-2_seed-9_am,email-Enron,0.9727027040922648,0.9800430121953202,0.924315619967794,0.9377348362855609,,
hedge-4_negtype-tailed-2_seed-9_cn,email-Eu,0.8735529382493401,0.9537657950906472,0.7828920001595523,0.9102499083523752,,
hedge-4_negtype-tailed-2_seed-9_cn,email-Enron,0.8589382868046924,0.8973321009364221,0.6902844873859366,0.774020397208803,,
hedge-4_negtype-tailed-2_seed-9_gm,email-Eu,0.9784463992373846,0.9784463992373846,0.9245858761987794,0.9245858761987794,,
hedge-4_negtype-tailed-2_seed-9_gm,email-Enron,0.9755434782608696,0.9755434782608694,0.9130434782608696,0.9130434782608696,,
hedge-4_negtype-tailed-2_seed-9_hm,email-Eu,0.9487726904856256,0.9476403245767252,0.8818125525905411,0.8762595612690489,,
hedge-4_negtype-tailed-2_seed-9_hm,email-Enron,0.9670653819366876,0.969682528831412,0.9146537842190016,0.9205582393988192,,
hedge-4_negtype-tailed-2_seed-9_jc,email-Eu,0.8797759403744962,0.8882729737454921,0.7942620039394233,0.8129875606156441,,
hedge-4_negtype-tailed-2_seed-9_jc,email-Enron,0.8765388598828765,0.8851902683120998,0.7270531400966185,0.7485238862050456,,
hedge-4_negtype-tailed-5_seed-9_aa,email-Eu,0.5356221882510556,0.8452942002587502,0.7685711254512713,0.9184936387325372,,
hedge-4_negtype-tailed-5_seed-9_aa,email-Enron,0.4246694010411544,0.7623784597307919,0.5736012807549714,0.8641304347826088,,
hedge-4_negtype-tailed-5_seed-9_am,email-Eu,0.8887283950729514,0.8894665189483987,0.9214310815066652,0.922218564224908,,
hedge-4_negtype-tailed-5_seed-9_am,email-Enron,0.868010949445305,0.8764109142560969,0.9132962588473204,0.9198685540950454,,
hedge-4_negtype-tailed-5_seed-9_cn,email-Eu,0.5261867149284798,0.8729027029518105,0.7629377589223721,0.9238962778408047,,
hedge-4_negtype-tailed-5_seed-9_cn,email-Enron,0.4153867990499812,0.744279050945489,0.5623104145601617,0.8535557802494103,,
hedge-4_negtype-tailed-5_seed-9_gm,email-Eu,0.9458186986247084,0.9458186986247084,0.9241499564080208,0.9241499564080208,,
hedge-4_negtype-tailed-5_seed-9_gm,email-Enron,0.9431114318359493,0.9431114318359493,0.9202898550724636,0.9202898550724636,,
hedge-4_negtype-tailed-5_seed-9_hm,email-Eu,0.7924291281408182,0.80530999908398,0.8759633401791588,0.8818187704508395,,
hedge-4_negtype-tailed-5_seed-9_hm,email-Enron,0.8806672370125208,0.8836811253522131,0.9297269969666327,0.9283788338388944,,
hedge-4_negtype-tailed-5_seed-9_jc,email-Eu,0.5446169468099821,0.6435330729784681,0.7790588874743279,0.8373035777037666,,
hedge-4_negtype-tailed-5_seed-9_jc,email-Enron,0.5297452525804358,0.5944652819508642,0.6708796764408493,0.7240478597910348,,
hedge-5_negtype-clique-1_seed-9_aa,email-Eu,0.9582109452693001,0.971747571159852,0.7146301903114187,0.7957828719723183,0.9745369817654436,0.8093425605536333
hedge-5_negtype-clique-1_seed-9_aa,email-Enron,0.920991116332366,0.9561374679403788,0.4479166666666667,0.6041666666666666,0.9561457135609368,0.6041666666666666
hedge-5_negtype-clique-1_seed-9_am,email-Eu,0.9849285468213124,0.9843376211339592,0.8707504325259516,0.8678957612456748,0.9854898109727792,0.8759407439446367
hedge-5_negtype-clique-1_seed-9_am,email-Enron,0.9807276633399588,0.9759834701381987,0.8020833333333335,0.7708333333333334,0.9699469106372932,0.7291666666666667
hedge-5_negtype-clique-1_seed-9_cn,email-Eu,0.9568524139957169,0.9719324421706133,0.7134191176470588,0.7969723183391003,0.972716194329816,0.7993836505190312
hedge-5_negtype-clique-1_seed-9_cn,email-Enron,0.8972067017184204,0.9774610417865808,0.4322916666666666,0.8020833333333335,0.959404432533978,0.6354166666666667
hedge-5_negtype-clique-1_seed-9_gm,email-Eu,0.9779042151512444,0.9778762498129812,0.7982050173010381,0.7982050173010379,0.978222903966355,0.8000216262975778
hedge-5_negtype-clique-1_seed-9_gm,email-Enron,0.9855198732718894,0.9731883661774512,0.84375,0.7291666666666666,0.9720958709422196,0.71875
hedge-5_negtype-clique-1_seed-9_hm,email-Eu,0.9883258925744514,0.988328016723517,0.9062716262975778,0.9062716262975778,0.9879553246643508,0.9036115916955018
hedge-5_negtype-clique-1_seed-9_hm,email-Enron,0.9962897243070616,0.9962897243070616,0.9583333333333334,0.9583333333333334,0.997282037815126,0.96875
hedge-5_negtype-clique-1_seed-9_jc,email-Eu,0.9334274151247955,0.9334135065031915,0.6173767301038063,0.6204584775086506,0.9355882062641568,0.6346020761245673
hedge-5_negtype-clique-1_seed-9_jc,email-Enron,0.9745112839642608,0.9785311918130756,0.75,0.7916666666666667,0.9806260890231104,0.8020833333333333
hedge-5_negtype-clique-10_seed-9_aa,email-Eu,0.1872117696517688,0.29438629682239426,0.6875881920096958,0.7667848331385534,0.3338753916174047,0.7613164956931999
hedge-5_negtype-clique-10_seed-9_aa,email-Enron,0.1169397728009432,0.14369475333606452,0.4907738095238096,0.5558531746031747,0.16070747045995992,0.5759424603174603
hedge-5_negtype-clique-10_seed-9_am,email-Eu,0.4563562505697517,0.4696219778315788,0.8460283296541575,0.8486161970306887,0.4753302506479324,0.8516314980738432
hedge-5_negtype-clique-10_seed-9_am,email-Enron,0.3783790928675,0.3918112310050473,0.7818948412698412,0.7830853174603175,0.3947250525332092,0.7842261904761905
hedge-5_negtype-clique-10_seed-9_cn,email-Eu,0.1832682429171852,0.3022299890893301,0.6870944249664546,0.7532686231225383,0.3159603229545029,0.7480079426914253
hedge-5_negtype-clique-10_seed-9_cn,email-Enron,0.11292546119170466,0.1330857490278398,0.483234126984127,0.5478670634920635,0.13763432324101832,0.5428075396825396
hedge-5_negtype-clique-10_seed-9_gm,email-Eu,0.4525316140222541,0.5420925666452212,0.7898692810457516,0.7965350820239797,0.5410692882349132,0.7956139895251698
hedge-5_negtype-clique-10_seed-9_gm,email-Enron,0.3534799367421669,0.4323991215281231,0.7095238095238096,0.7058531746031746,0.4366705289761245,0.7071428571428571
hedge-5_negtype-clique-10_seed-9_hm,email-Eu,0.4451880227092466,0.5548062728291003,0.8813237458338743,0.8636886984374323,0.5566100783616995,0.8680978660779985
hedge-5_negtype-clique-10_seed-9_hm,email-Enron,0.3666344002298289,0.5417430189893241,0.8686507936507937,0.8374007936507937,0.5384706661666279,0.8433531746031747
hedge-5_negtype-clique-10_seed-9_jc,email-Eu,0.1315006030667565,0.1305590426972898,0.6093195688871575,0.6149053153270139,0.16610744141231934,0.6571935462926892
hedge-5_negtype-clique-10_seed-9_jc,email-Enron,0.10802832586470286,0.1087331084499784,0.5740079365079365,0.5747519841269841,0.11411141196020233,0.5900297619047619
hedge-5_negtype-clique-2_seed-9_aa,email-Eu,0.8581910888821441,0.8931034378638569,0.7134659214239202,0.7712068591274148,0.9097966927072916,0.7913962448448015
hedge-5_negtype-clique-2_seed-9_aa,email-Enron,0.6888391303455058,0.7067309955920895,0.4934895833333333,0.4817708333333334,0.6933625791332751,0.4296875
hedge-5_negtype-clique-2_seed-9_am,email-Eu,0.9269407970988882,0.9314182480052696,0.8472813110484045,0.8511287171695245,0.930955827891598,0.854476883004124
hedge-5_negtype-clique-2_seed-9_am,email-Enron,0.8695298065103068,0.7917683178258809,0.7395833333333334,0.7161458333333334,0.818799099590217,0.71875
hedge-5_negtype-clique-2_seed-9_cn,email-Eu,0.8546465263906122,0.8906634221429364,0.7129748209246798,0.7629178424137184,0.8990669980381795,0.7702952029520296
hedge-5_negtype-clique-2_seed-9_cn,email-Enron,0.6864221447041262,0.7150044916017695,0.4934895833333334,0.51953125,0.6977316616549074,0.46875
hedge-5_negtype-clique-2_seed-9_gm,email-Eu,0.9123280183178152,0.9289572992971972,0.7934664640764056,0.8061048404601693,0.9287236574162944,0.8055133492511395
hedge-5_negtype-clique-2_seed-9_gm,email-Enron,0.8569796328805177,0.8433374703404031,0.7135416666666666,0.7161458333333334,0.8031069937220932,0.7057291666666666
hedge-5_negtype-clique-2_seed-9_hm,email-Eu,0.9324650120750252,0.9307736756761094,0.8800412415888866,0.8695789016713698,0.930908311917614,0.8681191664857825
hedge-5_negtype-clique-2_seed-9_hm,email-Enron,0.8904070142853382,0.9397219703205286,0.8385416666666666,0.8776041666666666,0.9402795816529628,0.8776041666666667
hedge-5_negtype-clique-2_seed-9_jc,email-Eu,0.8116378315354308,0.8114129474973002,0.6520675059691773,0.6526128717169525,0.8274841653379641,0.6800656609507272
hedge-5_negtype-clique-2_seed-9_jc,email-Enron,0.7960211358227518,0.8296819315275321,0.6067708333333334,0.6197916666666667,0.8186411607156243,0.609375
hedge-5_negtype-clique-5_seed-9_aa,email-Eu,0.4632331666721021,0.5957213844840379,0.6924008067029048,0.7638476785652459,0.6186534468960192,0.7623381400824015
hedge-5_negtype-clique-5_seed-9_aa,email-Enron,0.3343962716464607,0.35074406935827823,0.5721914556962026,0.5907832278481013,0.40964048353584775,0.6210443037974683
